mensaje,tipo
¡Gana un iPhone gratis ahora! Haz clic en este enlace.,spam
Recordatorio: su pedido ha sido enviado correctamente.,ham
Has sido seleccionado para recibir una tarjeta regalo de 500€.,spam
¿Puedes revisar el informe que te envié ayer?,ham
"No es spam, revisa por favor el documento adjunto.",ham
Oferta exclusiva: 50% de descuento en relojes de lujo.,spam
Tu cuenta bancaria necesita verificación inmediata.,spam
Nos vemos para comer mañana.,ham
Compra medicamentos sin receta al mejor precio.,spam
Su suscripción se ha renovado correctamente.,ham
