mensaje,tipo
¡Has sido seleccionado para ganar un iPhone 15 gratis!,spam
Reclama tu premio ahora antes de que expire la oferta.,spam
Gana dinero desde casa trabajando solo 2 horas al día.,spam
Haz clic aquí para duplicar tus ganancias fácilmente.,spam
Oferta exclusiva: consigue un crédito sin intereses.,spam
¡Descuento del 70% en relojes de lujo solo por hoy!,spam
Tu cuenta bancaria ha sido bloqueada. Verifícala aquí.,spam
Compra seguidores reales y aumenta tu popularidad.,spam
¡Tu préstamo ha sido aprobado! Pulsa el enlace para recibirlo.,spam
No pierdas esta oportunidad: vacaciones todo incluido por 199€.,spam
Recibe un regalo sorpresa completando esta encuesta.,spam
Gana una tarjeta regalo de Amazon de 100€ gratis.,spam
Repara tu historial crediticio fácilmente.,spam
Invierte ahora en criptomonedas y gana 500€ en una semana.,spam
Aumenta tu potencia y rendimiento con este suplemento natural.,spam
¡Atención! Su cuenta PayPal será suspendida si no verifica sus datos.,spam
Compra medicamentos sin receta al mejor precio.,spam
Promoción especial: consigue 2 por el precio de 1.,spam
Gana un cupón de descuento solo por registrarte.,spam
¡Recibe alertas bursátiles y gana dinero en minutos!,spam
"Tu paquete no pudo ser entregado, confirma tus datos aquí.",spam
"Felicidades, eres el ganador del sorteo mensual.",spam
Obtén una tarjeta de crédito sin comprobación de ingresos.,spam
"Participa en la rifa de un coche nuevo, ¡es gratis!",spam
Multiplica tus inversiones con nuestro nuevo sistema automático.,spam
"Hola, ¿confirmas la reunión de mañana a las 10:00?",ham
El pedido número 3542 ha sido enviado correctamente.,ham
Adjunto el informe que solicitaste ayer.,ham
¿Puedes revisar los documentos antes de la presentación?,ham
Nos vemos esta tarde para tomar un café.,ham
Gracias por tu ayuda con el proyecto.,ham
La factura de este mes ya está disponible en el portal.,ham
¡Feliz cumpleaños! Espero que pases un gran día.,ham
Recuerda traer tu DNI a la cita del médico.,ham
El examen final se realizará el próximo martes.,ham
El archivo que necesitabas está en la carpeta compartida.,ham
La reunión de equipo se ha movido al jueves.,ham
Buenas noticias: el cliente ha aprobado la propuesta.,ham
¿Te parece si cenamos fuera esta noche?,ham
Gracias por tu compra. Tu factura adjunta.,ham
El pago se ha realizado correctamente.,ham
El envío llegará entre el lunes y el martes.,ham
"No olvides llevar paraguas, parece que va a llover.",ham
¡Nos vemos en clase mañana temprano!,ham
La biblioteca estará cerrada por mantenimiento el viernes.,ham
El paquete ya está disponible para su recogida.,ham
Agradezco tu respuesta al correo anterior.,ham
"Estoy preparando la presentación, te la envío en un rato.",ham
"Por favor, confirma tu asistencia al evento del sábado.",ham
"Llama cuando llegues, te espero en la entrada.",ham
